t,q_current,logq_current,roll_mean_3,roll_median_3,roll_std_3,log_slope_3,roll_mean_7,roll_median_7,roll_std_7,log_slope_7,roll_mean_14,roll_median_14,roll_std_14,log_slope_14,roll_mean_30,roll_median_30,roll_std_30,log_slope_30,ratio_mean_3,ratio_median_3,ratio_mean_7,ratio_median_7,ratio_mean_14,ratio_median_14,ratio_mean_30,ratio_median_30,DEC_RATIO_TARGET,TEST_DATE,OIL_SMOOTH,OIL_NEXT,DELTA_T
81,463.250053,6.138266979574529,466.6411333333333,463.345126,4.72864433110212,-0.010761040795056645,510.8214091428572,488.298034,48.939113093400906,-0.04488759588003663,560.9828441428571,598.8109334999999,61.06396807888702,-0.025829506584947325,362.6421735,463.29758949999996,217.3263201469037,0.06457116956013288,0.982682138298216,0.9789087264247445,0.96360245986604,0.9693428767726721,0.9800575472799957,0.9900268886479711,1.1249020872458835,0.9943097431396504,0.0,2025-09-28,463.250053,463.250053,1.0
82,463.250053,6.138266979574529,463.28174399999995,463.250053,0.04481784200517212,-0.00010260467838360668,491.9212712857143,473.328221,36.54484205081651,-0.0323248488645325,549.9982897142856,580.007018,63.76522551638508,-0.02777401621644459,372.714092,463.29758949999996,214.73846498419468,0.06370940001137311,0.9929011793739919,0.9997948116972315,0.9651494612365903,0.9693428767726721,0.9800575472799957,0.9900268886479711,1.1249564910169343,0.9943097431396504,0.0,2025-09-29,463.250053,463.250053,1.0
83,463.345126,6.138472188931297,463.28174399999995,463.250053,0.04481784200517212,0.00010260467838607152,477.47585814285713,463.345126,22.175532528924574,-0.018426853638734572,539.0205262142857,545.9887060000001,64.50465478390598,-0.028452632620871367,382.8159187333333,463.345126,211.61340303527788,0.06234454297798726,1.00000001403696,1.0,0.9726359795408813,0.9789087264247445,0.9800722065952563,0.9900268886479711,1.1251293182415347,0.9954546766276409,0.0,2025-10-01,463.345126,463.345126,1.0
84,467.131141,6.146610034093332,464.57544,463.345126,1.807570269705177,0.004171527259401956,468.8496791428571,463.345126,8.656632912303243,-0.006278095931493337,528.3131923571428,507.906214,63.09225634271079,-0.027639611080084225,393.4263153,465.2381335,207.55594970880267,0.06004779376450237,1.0027920926138263,1.0002052304136488,0.9831544158412769,0.9997948116972315,0.9806558528401013,0.9900268886479711,1.1277871663096912,0.9978311494671577,0.0,2025-10-03,467.131141,467.131141,1.0
85,467.131141,6.146610034093332,465.869136,467.131141,1.7847445867826672,0.004068922581018353,465.8258372857143,463.345126,3.490202272252212,-0.0008234350547538644,518.2073061428571,480.81312749999995,60.706642688561864,-0.026056210108403408,404.0367118666666,467.131141,202.8633804910863,0.057242089003921,1.0027920926138263,1.0002052304136488,0.9937746703908753,1.0,0.9816305930054472,0.9946174025862515,1.127787166309691,0.9978311494671577,0.0,2025-10-04,467.131141,467.131141,1.0
86,468.470741,6.149473647220233,467.57767433333333,467.131141,0.631493496051648,0.0014318065634508926,465.13191157142853,463.345126,2.1583594064366793,0.002072626372257933,508.1971056428571,470.899481,56.373581882707605,-0.023228031337279537,414.6917617666667,467.80094099999997,197.50244048138362,0.05394590361964247,1.0036795882037814,1.0028677171835134,0.9985639333067098,1.0,0.9818354299471267,0.9946174025862515,1.127882756882475,0.9978311494671577,0.0,2025-10-06,468.470741,468.470741,1.0
87,483.792413,6.18165591595292,473.1314316666667,468.470741,7.558263657845474,0.017522940929794513,468.0529525714286,467.131141,6.7390541357624665,0.005739928199593317,499.352952,470.899481,49.35962552623001,-0.01838436008621158,425.87087679999996,470.899481,191.51509406140906,0.05032854131553399,1.0118578117659782,1.0028677171835134,1.0062492178338065,1.0002052304136488,0.9842892656493919,0.9953387992935132,1.129062604797902,0.9990734149899698,0.0,2025-10-10,483.792413,483.792413,1.0
88,483.792413,6.18165591595292,478.685189,483.792413,7.222705446877384,0.01609113436634431,470.98757542857146,467.131141,8.300453047935228,0.007835638439475295,490.90449228571424,470.899481,40.35654510335557,-0.012840972256529528,437.0816591333333,478.560317,184.60929517920977,0.04614114560306609,1.0118578117659782,1.0028677171835134,1.0062785304484876,1.0002052304136488,0.9849404951572637,0.9998974058486158,1.1292759690444463,0.9998974058486158,0.0,2025-10-11,483.792413,483.792413,1.0
89,490.759212,6.195953604248859,486.1146793333333,483.792413,3.2841805440424294,0.0071488441479699155,474.9174552857143,468.470741,10.037240052821902,0.009913638983265707,483.41936328571427,470.899481,28.114378418151336,-0.006286623283546349,448.57277129999994,483.792413,176.69410291398052,0.04144956827655977,1.01570203574446,1.0144003891189588,1.008335728894053,1.0028677171835134,0.9867425950653218,1.0,1.1300821740865845,1.0,0.013604600177599019,2025-10-14,490.759212,484.12784,1.0
90,484.12784,6.18234900407126,486.2264883333334,484.12784,3.2080436091022086,0.0003465440591717537,477.8864144285714,483.792413,9.21514799424038,0.008503082820625825,477.6811362857143,470.899481,16.981717724202905,-0.0010377154787098795,459.9631581,483.9601265,167.3583273097023,0.035958259716984645,1.000295971089867,1.0,1.0063760565707667,1.0028677171835134,0.9895060180558239,1.0,1.1304557244551547,1.0,0.00658063906434709,2025-10-15,484.12784,480.952429,1.0
91,480.952429,6.175768365006913,485.279827,484.12784,4.085629591499045,-0.010092619620972599,479.8608841428572,483.792413,8.114075003621133,0.005982978383526134,474.35528164285716,470.899481,10.034909673703437,0.0024661872161071685,471.4320786333332,483.9601265,156.24544151978802,0.029606869002582515,0.9981096263976607,0.9934409659233809,1.004271759212988,1.0,0.9937130875271326,1.0,1.1315317511274259,1.0,0.004638905612076067,2025-10-16,480.952429,478.726503,1.0
92,489.910519,6.19422276014294,484.99692933333336,484.12784,3.708398694316319,0.005936878035840763,483.115081,483.792413,6.821056811021075,0.004398761606944523,474.4704591428571,470.899481,10.202139531157071,0.004356836286932424,483.6649242,486.212937,142.2174672111505,0.022073594401654125,0.9995180732988208,0.9934409659233809,1.0069325777590508,1.0028677171835134,1.000353624074963,1.0,1.1355519781055965,1.0,0.0,2025-10-19,489.910519,489.910519,1.0
93,489.910519,6.19422276014294,486.924489,489.910519,4.222884123652946,0.009227197568013046,486.1779064285714,484.12784,3.6202347688109944,0.0015231779181480623,475.654909,474.711585,10.936900037764442,0.005206503191130153,496.7941702333334,489.10427649999997,122.66261752442881,0.012222489664210773,1.0040222319152734,1.0,1.0065229038756918,1.0,1.0025434185912008,1.0,1.142844224257683,1.0,0.0,2025-10-20,489.910519,489.910519,1.0
94,491.516642,6.1974957986274255,490.44589333333334,489.910519,0.7571336431464392,0.0016365192422446318,487.28136771428575,489.910519,3.8919482710103575,0.0019975612815483624,477.6671601428571,482.37242100000003,11.077637077508605,0.005295574532341983,509.9769537000001,489.910519,97.5685068875515,0.001667460396082613,1.0073013768486874,1.0032784007236226,1.002319001391292,1.0,1.0042841096125492,1.0001026152068244,1.1429535042818038,1.0,0.0,2025-10-22,491.516642,491.516642,1.0
95,497.294227,6.209181856966402,492.90712933333333,491.516642,3.1706862795969144,0.007479548411731972,489.2101982857143,489.910519,4.90003883182542,0.003158312228606378,480.0988868571429,483.792413,11.378486130659185,0.0054523236728128265,523.3523233333333,490.3348655,60.286195131613155,-0.009538672157165428,1.0050110026012138,1.0032784007236226,1.0039982309741518,1.0032784007236226,1.0051383807113197,1.001536473798581,1.1433453245178045,1.0,0.0,2025-10-24,497.294227,497.294227,1.0
96,499.935925,6.214479940210279,496.2489313333333,497.294227,3.515732624606745,0.008492070791427815,490.52115728571425,489.910519,6.195437715869284,0.005946172529304519,482.71930628571425,483.9601265,11.420757295853672,0.005448732873474322,523.0704658000001,490.3348655,60.375183198500565,-0.009948811369670277,1.0067817169031112,1.0053121429056928,1.0026999100865424,1.0032784007236226,1.0055178194902978,1.003073058953568,1.0003917636170307,1.0,0.0,2025-10-26,499.935925,499.935925,1.0
