TEST_DATE,RF_FORECAST_OIL,ARPS_EXP_FORECAST_OIL,DIFF_RF_MINUS_ARPS
2013-03-18,542.1706196038443,152.58407265475887,389.58654694908546
2013-03-19,541.602639353594,152.14382501227087,389.4588143413231
2013-03-20,541.0352541218729,151.70484760712372,389.33040651474914
2013-03-21,540.4684632853371,151.26713677432824,389.2013265110088
2013-03-22,539.9022662212957,150.8306888594696,389.0715773618261
2013-03-23,539.3366623077101,150.39550021867697,388.9411620890331
2013-03-24,538.7716509231932,149.96156721859316,388.81008370460006
2013-03-25,538.2072314470092,149.5288862363443,388.67834521066493
2013-03-26,537.6434032590724,149.09745365950934,388.5459495995631
2013-03-27,537.0801657399467,148.6672658860903,388.4128998538564
2013-03-28,536.5175182708449,148.2383193244817,388.2791989463632
2013-03-29,535.9554602336281,147.81061039344104,388.144849840187
2013-03-30,535.3939910108049,147.38413552205876,388.0098554887462
2013-03-31,534.833109985531,146.95889114972812,387.8742188358029
2013-04-01,534.2728165416079,146.53487372611593,387.7379428154919
2013-04-02,533.713110063483,146.1120797111327,387.6010303523503
2013-04-03,533.1539899362484,145.69050557490291,387.46348436134554
2013-04-04,532.5954555456404,145.27014779773597,387.3253077479045
2013-04-05,532.037506278039,144.8510028700963,387.1865034079427
2013-04-06,531.4801415204666,144.43306729257452,387.04707422789215
2013-04-07,530.9233606605882,144.01633757585805,386.9070230847301
2013-04-08,530.3671630867099,143.6008102407017,386.7663528460082
2013-04-09,529.8115481877788,143.18648181789908,386.62506636987973
2013-04-10,529.2565153533824,142.77334884825348,386.4831665051289
2013-04-11,528.7020639737472,142.36140788254872,386.3406560911984
2013-04-12,528.1481934397387,141.95065548152078,386.19753795821794
2013-04-13,527.5949031428607,141.54108821582867,386.0538149270321
2013-04-14,527.0421924752542,141.13270266602623,385.9094898092279
2013-04-15,526.4900608296971,140.72549542253324,385.76456540716384
2013-04-16,525.9385075996034,140.319463085607,385.6190445139964
2013-04-17,525.3875321790227,139.91460226531416,385.4729299137086
2013-04-18,524.8371339626393,139.51090958150226,385.3262243811371
2013-04-19,524.2873123457716,139.10838166377135,385.17893068200027
2013-04-20,523.7380667243715,138.70701515144629,385.0310515729252
2013-04-21,523.1893964950236,138.30680669354817,384.88258980147543
2013-04-22,522.6413010549448,137.9077529487667,384.73354810617815
2013-04-23,522.0937798019835,137.50985058543233,384.58392921655116
2013-04-24,521.5468321346186,137.11309628148805,384.43373585313054
2013-04-25,521.0004574519596,136.71748672446213,384.2829707274975
2013-04-26,520.4546551537452,136.32301861144018,384.13163654230505
